id,created_time,message
1639535079461235_1629906477090762,2018-03-12T20:19:01+0000,Every pixel has memories attached to it. â¤ï¸
1639535079461235_1618783954869681,2018-03-02T19:21:58+0000,School Standards. :/
1639535079461235_1614577458623664,2018-02-26T17:31:28+0000,_Shared_story/link
1639535079461235_1603516339729776,2018-02-15T19:00:48+0000,DOPE.
1639535079461235_1593138994100844,2018-02-04T21:14:06+0000,"It's not V day, It's ME day. ğŸ’“"
1639535079461235_1571017769646300,2018-01-12T14:04:44+0000,_Shared_story/link
1639535079461235_1561710783910332,2018-01-03T07:07:08+0000,_Shared_story/link
1639535079461235_1490548214359923,2017-10-18T11:12:18+0000,#dablife
1639535079461235_1467590153322396,2017-09-20T15:14:00+0000,Simple af.
1639535079461235_1467586613322750,2017-09-20T15:07:16+0000,Choose Wisely.
1639535079461235_1467584863322925,2017-09-20T15:04:21+0000,"Hello from the ""Aadhar"" side."
1639535079461235_1464403553641056,2017-09-16T18:46:47+0000,GOLD.
1639535079461235_1443088679105877,2017-08-21T20:09:48+0000,_Shared_story/link
1639535079461235_1442216732526405,2017-08-20T18:10:49+0000,The Vibes.
1639535079461235_1432546646826747,2017-08-09T23:49:23+0000,Daym girl.
1639535079461235_1429746773773401,2017-08-06T20:58:14+0000,DOPE.
1639535079461235_1429238337157578,2017-08-06T09:22:23+0000,Is it?
1639535079461235_1428410553907023,2017-08-05T12:15:05+0000,"""No"" armaan's land."
1639535079461235_1415360448545367,2017-07-21T20:48:53+0000,Happy Birthday Bhai. :)
1639535079461235_1414283845319694,2017-07-20T19:03:59+0000,ğŸ’”ğŸ’”
1639535079461235_1414278435320235,2017-07-20T18:58:27+0000,Let this be a nightmare. PLEASE.
1639535079461235_1413389315409147,2017-07-19T20:17:25+0000,This is the height.
1639535079461235_1413064792108266,2017-07-19T12:51:14+0000,AUN KYA?
1639535079461235_1410434692371276,2017-07-16T16:26:40+0000,"Lonavla ğŸ’
PC : Sudhanshu Joshi"
1639535079461235_1409448952469850,2017-07-15T16:56:03+0000,No Captions. No Hashtags. Only Shoes.
1639535079461235_1407150339366378,2017-07-13T11:03:09+0000,We have Dhinchak Pooja.
1639535079461235_1404805016267577,2017-07-10T22:23:48+0000,Amazing.
1639535079461235_1396333727114706,2017-07-02T09:18:42+0000,_Shared_story/link
1639535079461235_1386948524719893,2017-06-23T18:55:13+0000,Amazing. â¤ï¸
1639535079461235_1356618681086211,2017-05-25T13:02:01+0000,When you and your best friend are far away in exam.
1639535079461235_1347619341986145,2017-05-15T06:48:37+0000,Save Me.
1639535079461235_1340264722721607,2017-05-06T15:34:50+0000,I'm in.
1639535079461235_1307145402700206,2017-04-01T15:56:31+0000,#OneCroreOnePlus
1639535079461235_1307138779367535,2017-04-01T15:51:11+0000,#OneCroreOnePlus
1639535079461235_1273664852714928,2017-02-28T12:09:54+0000,_Shared_story/link
1639535079461235_1273661972715216,2017-02-28T12:05:52+0000,_Shared_story/link
1639535079461235_1265483076866439,2017-02-21T09:11:30+0000,Respect Bro.
1639535079461235_1258017267613020,2017-02-14T11:02:24+0000,"Never Expected This.
Thank You All for this unforgettable experience.
Had the BEST BIRTHDAY EVER. :)"
1639535079461235_1258017257613021,2017-02-14T11:02:23+0000,"Never Expected This.
Thank You All for this unforgettable experience.
Had the BEST BIRTHDAY EVER. :)"
1639535079461235_1255557977858949,2017-02-11T07:55:39+0000,_Shared_story/link
1639535079461235_1238784629536284,2017-01-26T20:56:44+0000,This shit is EPIC!!  :p
1639535079461235_1230315590383188,2017-01-18T22:22:54+0000,_Shared_story/link
1639535079461235_1224797640934983,2017-01-12T11:30:53+0000,Ultimate Level - Snapezone.
1639535079461235_1223772081037539,2017-01-11T08:23:31+0000,Dayum. That Look..
1639535079461235_1222418917839522,2017-01-09T15:41:45+0000,_Shared_story/link
1639535079461235_1221805911234156,2017-01-08T20:02:04+0000,Feeling Good.
1639535079461235_1210141112400636,2016-12-25T12:33:55+0000,Dayum!!
1639535079461235_1209812942433453,2016-12-25T02:03:19+0000,_Shared_story/link
1639535079461235_1188953384519409,2016-12-03T07:29:09+0000,On Point.
1639535079461235_1168557646558983,2016-11-14T07:30:42+0000,This. *__*
1639535079461235_1148032981944783,2016-10-27T12:30:07+0000,Will he Smith?
1639535079461235_1140723732675708,2016-10-19T07:46:44+0000,_Shared_story/link
1639535079461235_1120549304693151,2016-09-26T09:57:48+0000,Too Siri-ous!!
1639535079461235_1108644555883626,2016-09-11T15:56:28+0000,Shots fired!!
1639535079461235_1107472662667482,2016-09-10T07:30:11+0000,Last line though .. *__*
1639535079461235_1098436633571085,2016-08-30T14:32:59+0000,Logic.
1639535079461235_1098433903571358,2016-08-30T14:25:44+0000,_Shared_story/link
1639535079461235_1098433873571361,2016-08-30T14:25:39+0000,_Shared_story/link
1639535079461235_1083512208396861,2016-08-12T11:04:47+0000,_Shared_story/link
1639535079461235_1050742341673848,2016-06-23T11:45:35+0000,"FUN at Daspalla!! 
Photo Credits : Rohit Rocking"
1639535079461235_939486606132756,2015-12-20T14:44:33+0000,_Shared_story/link
1639535079461235_862925047122246,2015-06-28T13:02:42+0000,_Shared_story/link
1639535079461235_762059290542156,2015-01-02T17:57:44+0000,"""United we shall rise.
Divided we shall fall""
 - I'm kinda unique, I always sleep!!
#randomthoughts"
1639535079461235_760656627349089,2014-12-31T18:40:39+0000,"Another year dedicated to all my -
1.Friends - To tolerate me.
2.Haters -  I'm way too smart this year.
3.Enemies - To battle me.
*Ghanta exams pass aa rahe hain.
Padhlete hain.
Happy New Year!! :p :p
#studpanti
#HNY #dumbthoughts"
1639535079461235_722409777840441,2014-10-20T18:17:14+0000,"Rich Kids - Can't go till fridge to get favorite product.
Me - Go till 5 kms searching for my favorite product.
ğŸ‘ŒğŸ‘ŒğŸ‘Œ"
1639535079461235_722406521174100,2014-10-20T18:08:49+0000,True..
1639535079461235_719815281433224,2014-10-15T16:19:25+0000,"Hardest thing - Switching off the Fan and sleeping.(Night)
#Umpossible
ğŸ˜²ğŸ˜²ğŸ˜²"
1639535079461235_717138528367566,2014-10-11T14:40:56+0000,"On Flipkart Big Billion Day..
The Flipkart store had only two type of products - 
1. Out Of Order
2. Out of Aaukat.
ğŸ˜²ğŸ˜²ğŸ˜²  #flipkartbigbillionscam"
1639535079461235_716709121743840,2014-10-10T18:43:32+0000,Give this dog an Nobel Prize..ğŸ˜ğŸ˜ğŸ˜
1639535079461235_716701215077964,2014-10-10T18:20:09+0000,"The Flipkart sale started at 8:00am.
""""The Flipkart sale just ended at 8:05am. Thank you!!""""
#flipkartbigbillionscam"
1639535079461235_716046748476744,2014-10-09T18:41:37+0000,"I think the next people to feature in Satyamev Jayate would be #FlipkartBigBillionDaySale heartbreaks!! 
ğŸ˜ğŸ˜ğŸ˜"
1639535079461235_714883868593032,2014-10-07T18:18:30+0000,Man!!
1639535079461235_714858048595614,2014-10-07T17:27:20+0000,WTF?
1639535079461235_714855068595912,2014-10-07T17:20:16+0000,_Shared_story/link
1639535079461235_714850898596329,2014-10-07T17:10:53+0000,#BigBillionDay
1639535079461235_713042695443816,2014-10-04T19:25:13+0000,#epic
1639535079461235_713040778777341,2014-10-04T19:20:37+0000,"""One Third of U.S High School students have IPhone"".
And I'm stuck with Nokia!!"
1639535079461235_712840028797416,2014-10-04T11:09:39+0000,_Shared_story/link
1639535079461235_710687939012625,2014-09-30T06:17:51+0000,"That feeling when you study all day and your Mum says ""Din Bhar TV Dekh Raha Tha""."
1639535079461235_707343552680397,2014-09-23T13:56:48+0000,"I am addicted towards sleep.
I sleep everyday."
1639535079461235_704743502940402,2014-09-17T17:30:58+0000,_Shared_story/link
1639535079461235_704743192940433,2014-09-17T17:30:05+0000,_Shared_story/link
1639535079461235_704668712947881,2014-09-17T14:07:17+0000,_Shared_story/link
1639535079461235_703744573040295,2014-09-15T14:35:27+0000,Awesome app. Must try..
1639535079461235_703735353041217,2014-09-15T14:05:40+0000,Well done
1639535079461235_703345816413504,2014-09-14T17:24:27+0000,_Shared_story/link
1639535079461235_703344506413635,2014-09-14T17:20:11+0000,_Shared_story/link
1639535079461235_703138759767543,2014-09-14T06:38:22+0000,_Shared_story/link
1639535079461235_703138476434238,2014-09-14T06:36:44+0000,_Shared_story/link
1639535079461235_701062306641855,2014-09-09T14:15:23+0000,I still love to play with balloons.
1639535079461235_700678016680284,2014-09-08T17:46:43+0000,_Shared_story/link
1639535079461235_700193750062044,2014-09-07T17:13:22+0000,#truth
1639535079461235_700181036729982,2014-09-07T16:38:11+0000,Ñ—f ÑŒÑ‘Ñ—Ğ¹g Ğ½Ğ¾Ñ‚ Ñ—$ a cÑÑ—Ğ¼Ñ‘ ... AÑÑÑ‘$T MÑ”.ğŸ˜‹ğŸ˜‹ğŸ˜‹
1639535079461235_699723693442383,2014-09-06T18:45:51+0000,_Shared_story/link
1639535079461235_699722630109156,2014-09-06T18:45:16+0000,#chinese
1639535079461235_699722043442548,2014-09-06T18:42:53+0000,Happens #everytime....
1639535079461235_699289820152437,2014-09-05T16:47:21+0000,#rapgod
1639535079461235_696508767097209,2014-08-31T15:31:16+0000,Remembering the #0lddays
1639535079461235_694968803917872,2014-08-28T17:48:28+0000,Three girls holding lot of #pressure
1639535079461235_694967437251342,2014-08-28T17:43:18+0000,_Shared_story/link
1639535079461235_694967333918019,2014-08-28T17:43:01+0000,_Shared_story/link
1639535079461235_694928930588526,2014-08-28T15:35:47+0000,Me too...ğŸ˜¢ğŸ˜¢ğŸ˜¢
1639535079461235_694896410591778,2014-08-28T13:55:10+0000,_Shared_story/link
1639535079461235_690345414380211,2014-08-19T15:41:45+0000,#gangnamstyle
1639535079461235_688050371276382,2014-08-14T13:48:01+0000,#0ldDays
1639535079461235_687018328046253,2014-08-12T14:43:36+0000,"Some people are just like some schools during summer, they have, NO CLASS.#noclass"
1639535079461235_685539924860760,2014-08-09T14:38:25+0000,"Dear people who update their Facebook status every 30 seconds, there's Twitter for a reason! #shittyupdates"
1639535079461235_684416744973078,2014-08-07T16:59:35+0000,Total Slaughter....
1639535079461235_684306914984061,2014-08-07T12:30:37+0000,Join Battle Camp and win a prize!
1639535079461235_681159858632100,2014-08-01T06:54:43+0000,_Shared_story/link
1639535079461235_680495032031916,2014-07-31T00:25:15+0000,"Thru all the problems I faced, the burden on my shoulder, the pain in my heart. I've got one thing to say.. I survived."
1639535079461235_680493398698746,2014-07-31T00:19:01+0000,"When you have to make a hard decision, flip a coin. Why? Because when that coin is in the air, you suddenly know what you're hoping for."
1639535079461235_676918955722857,2014-07-24T16:07:52+0000,_Shared_story/link
1639535079461235_672515446163208,2014-07-15T15:41:08+0000,If you hate when you... say something funny & then someone says it louder & gets the credit.
1639535079461235_672514826163270,2014-07-15T15:39:09+0000,The awkward moment when you're at your friends house and your friend is getting yelled at so you just stand there and pet the dog.
1639535079461235_672514486163304,2014-07-15T15:38:50+0000,"The awkward moment when youâ€™ve already said â€œwhat?â€ three times and still have no idea what the person said, so you just agree."
1639535079461235_672514276163325,2014-07-15T15:38:06+0000,That awkward moment when you can't stop laughing while telling a joke and when your finally done your friends doesn't even get it.ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹
1639535079461235_672513006163452,2014-07-15T15:33:34+0000,"To find out a girlâ€™s faults, praise her to her friends.ğŸ‘»ğŸ‘»ğŸ‘»ğŸ‘»ğŸ‘»ğŸ‘»"
1639535079461235_672510732830346,2014-07-15T15:25:56+0000,Iâ€™m in shape. Round is a shape isnâ€™t it?
1639535079461235_672509502830469,2014-07-15T15:23:06+0000,"They keep saying the right person will come along, I think mine got hit by a truck.ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®"
1639535079461235_672505119497574,2014-07-15T15:20:43+0000,I like work. It fascinates me. I sit and look at it for hours.â˜ºâ˜ºâ˜ºâ˜ºâ˜º
1639535079461235_671994982881921,2014-07-14T16:39:25+0000,To steal ideas from one person is plagiarism. To steal from many is research.ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®
1639535079461235_671210366293716,2014-07-13T08:42:36+0000,After (M)onday and (T)uesday even the week says WTF !!ğŸ™‡ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯ğŸ˜¯
1639535079461235_671209246293828,2014-07-13T08:40:01+0000,The real reason women live longer than men because they donâ€™t have to live with women.
1639535079461235_671208922960527,2014-07-13T08:38:42+0000,"Eat right, exercise, die anyway.ğŸ’™ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜‹ğŸ˜”"
1639535079461235_671208259627260,2014-07-13T08:35:07+0000,"Nothing sucks more than that moment during an argument when you realize youâ€™re wrong.,...... .ğŸ˜«ğŸ˜«ğŸ˜«ğŸ˜«ğŸ˜«ğŸ˜«ğŸ˜«"
1639535079461235_670361069711979,2014-07-11T17:06:25+0000,"The kind of weird feeling when you call the new student ""Kya AAP"" and he replies you ""KYA BEY"",.........ğŸ˜–ğŸ˜–ğŸ˜–ğŸ˜–ğŸ˜–ğŸ˜–ğŸ˜–ğŸ˜–"
1639535079461235_663272387087514,2014-06-28T13:45:36+0000,_Shared_story/link
1639535079461235_652386548176098,2014-06-07T15:26:28+0000,_Shared_story/link
1639535079461235_651419631606123,2014-06-05T13:02:45+0000,_Shared_story/link
1639535079461235_651419438272809,2014-06-05T13:02:01+0000,_Shared_story/link
1639535079461235_651418861606200,2014-06-05T12:59:48+0000,_Shared_story/link
1639535079461235_651418568272896,2014-06-05T12:58:54+0000,_Shared_story/link
1639535079461235_651417354939684,2014-06-05T12:56:02+0000,_Shared_story/link
1639535079461235_651416318273121,2014-06-05T12:53:25+0000,_Shared_story/link
1639535079461235_651414114940008,2014-06-05T12:46:35+0000,_Shared_story/link
1639535079461235_646991372048949,2014-05-28T12:32:45+0000,_Shared_story/link
1639535079461235_646989808715772,2014-05-28T12:31:20+0000,_Shared_story/link
1639535079461235_633464323401654,2014-05-01T14:15:36+0000,http://www.veryfunnypics.com/images/userUploads/Wife%20Five%20Minutes.jpeg
1639535079461235_633463690068384,2014-05-01T14:13:40+0000,http://www.veryfunnypics.com/images/userUploads/Packing%20Vacation.jpg
1639535079461235_633462396735180,2014-05-01T14:08:58+0000,http://www.veryfunnypics.com/images/userUploads/Fixing%20Computers.jpg
1639535079461235_633462303401856,2014-05-01T14:08:39+0000,http://www.veryfunnypics.com/images/userUploads/Computer%20Told%20Me.jpeg
1639535079461235_633460316735388,2014-05-01T14:02:42+0000,http://cdn.dualshockers.com/wp-content/uploads/2010/03/dj-hero-eminem-jay-z-01.jpg?57efa4
1639535079461235_633460180068735,2014-05-01T14:02:17+0000,http://www.killerhiphop.com/wp-content/uploads/2010/11/em-vs-jay.jpg
1639535079461235_624160804332006,2014-04-13T11:12:26+0000,_Shared_story/link
1639535079461235_624152644332822,2014-04-13T11:06:06+0000,_Shared_story/link
1639535079461235_624151317666288,2014-04-13T11:01:22+0000,_Shared_story/link
1639535079461235_624149220999831,2014-04-13T10:52:20+0000,_Shared_story/link
1639535079461235_624149057666514,2014-04-13T10:51:16+0000,_Shared_story/link
1639535079461235_624146857666734,2014-04-13T10:41:11+0000,_Shared_story/link
